,intercept,game,price,year,rank,geek_rtg,avg_rtg,std_dev,num_voters,players,minutes,age,weight,page_views,thematic,strategic,them*strat,all_plays,this_month
0,1,Gloomhaven,101.99,2017,1,8.528,8.76,1.63,45707,4.0,120.0,14.0,3.87,10750935.0,1.0,1.0,1.0,379566.0,2605.0
1,1,Pandemic Legacy: Season 1,79.99,2015,2,8.451,8.6,1.57,43755,4.0,60.0,13.0,2.83,3432744.0,1.0,1.0,1.0,241841.0,775.0
2,1,Brass: Birmingham,89.99,2018,3,8.41,8.67,1.24,23189,4.0,120.0,14.0,3.9,1929867.0,0.0,1.0,0.0,59011.0,1191.0
3,1,Terraforming Mars,69.95,2016,4,8.278,8.42,1.39,70604,5.0,120.0,12.0,3.24,6224765.0,0.0,1.0,0.0,413300.0,4784.0
4,1,Gloomhaven: Jaws of the Lion,34.93,2020,5,8.262,8.74,1.41,13244,4.0,120.0,14.0,3.57,1431948.0,1.0,1.0,1.0,68577.0,2318.0
5,1,Twilight Imperium: Fourth Edition,149.95,2017,6,8.257,8.68,1.6,15049,6.0,480.0,14.0,4.24,2371016.0,1.0,1.0,1.0,22552.0,281.0
6,1,Gaia Project,99.95,2017,7,8.177,8.48,1.39,17977,4.0,150.0,12.0,4.36,2280983.0,0.0,1.0,0.0,61655.0,830.0
7,1,Star Wars: Rebellion,105.35,2016,8,8.174,8.43,1.37,24664,4.0,240.0,14.0,3.72,3508385.0,1.0,0.0,0.0,36975.0,227.0
8,1,Through the Ages: A New Story of Civilization,59.61,2015,9,8.162,8.4,1.51,24691,4.0,120.0,14.0,4.41,2963562.0,0.0,1.0,0.0,91909.0,896.0
9,1,Great Western Trail,67.84,2016,10,8.129,8.3,1.27,31683,4.0,150.0,12.0,3.71,2658630.0,0.0,1.0,0.0,103555.0,978.0
10,1,Spirit Island,73.99,2017,11,8.126,8.36,1.46,29701,4.0,120.0,13.0,4.02,3365614.0,0.0,1.0,0.0,144728.0,2724.0
11,1,Twilight Struggle,89.95,2005,13,8.122,8.29,1.58,42263,2.0,180.0,13.0,3.59,4989850.0,0.0,1.0,0.0,110854.0,399.0
12,1,Scythe,90.0,2016,14,8.071,8.22,1.44,62008,5.0,115.0,14.0,3.42,6270158.0,0.0,1.0,0.0,215814.0,1548.0
13,1,The Castles of Burgundy,49.99,2011,15,8.011,8.13,1.24,48996,4.0,90.0,12.0,3.0,3187541.0,0.0,1.0,0.0,227444.0,2259.0
14,1,7 Wonders Duel,35.0,2015,16,7.983,8.11,1.18,65931,2.0,30.0,10.0,2.22,2226006.0,0.0,1.0,0.0,295166.0,3462.0
15,1,Terra Mystica,79.99,2012,17,7.977,8.13,1.47,40907,5.0,150.0,12.0,3.96,4113264.0,0.0,1.0,0.0,130293.0,670.0
16,1,Concordia,49.49,2013,18,7.966,8.12,1.19,30167,5.0,100.0,13.0,3.02,2125710.0,0.0,1.0,0.0,98556.0,686.0
17,1,Nemesis,140.0,2018,20,7.954,8.39,1.52,15622,5.0,180.0,12.0,3.37,2297887.0,1.0,0.0,0.0,34574.0,874.0
18,1,Wingspan,60.0,2019,21,7.947,8.11,1.35,51073,5.0,70.0,10.0,2.43,2469840.0,0.0,1.0,0.0,304637.0,5335.0
19,1,A Feast for Odin,79.7,2016,22,7.939,8.2,1.36,18933,4.0,120.0,12.0,3.84,1973230.0,0.0,1.0,0.0,61037.0,699.0
20,1,Arkham Horror: The Card Game,44.95,2016,23,7.926,8.17,1.5,31288,2.0,120.0,14.0,3.46,5747923.0,1.0,0.0,0.0,188826.0,2388.0
21,1,Viticulture Essential Edition,53.74,2015,24,7.902,8.07,1.26,32794,6.0,90.0,13.0,2.9,1548236.0,0.0,1.0,0.0,104105.0,1556.0
22,1,Orléans,109.99,2014,25,7.888,8.08,1.16,23681,4.0,90.0,12.0,3.04,1687798.0,0.0,1.0,0.0,71682.0,505.0
23,1,Root,74.95,2018,26,7.883,8.1,1.43,28839,4.0,90.0,10.0,3.7,3177331.0,0.0,1.0,0.0,88150.0,1461.0
24,1,Mage Knight Board Game,95.5,2011,27,7.88,8.1,1.62,28846,4.0,240.0,14.0,4.32,4458523.0,1.0,1.0,1.0,66698.0,246.0
25,1,Everdell,60.0,2018,28,7.863,8.1,1.28,25654,4.0,80.0,13.0,2.81,2118893.0,0.0,1.0,0.0,96219.0,1964.0
26,1,Puerto Rico,44.95,2002,29,7.848,7.98,1.38,64560,5.0,150.0,12.0,3.28,3921592.0,0.0,1.0,0.0,174388.0,422.0
27,1,Dune: Imperium,55.0,2020,30,7.845,8.32,1.24,9949,4.0,120.0,14.0,2.94,1222569.0,1.0,1.0,1.0,27027.0,2336.0
28,1,Caverna: The Cave Farmers,65.99,2013,31,7.834,8.01,1.34,29112,7.0,210.0,12.0,3.79,2431057.0,0.0,1.0,0.0,64219.0,288.0
29,1,Food Chain Magnate,211.95,2015,32,7.831,8.12,1.58,14676,5.0,240.0,14.0,4.2,1832399.0,0.0,1.0,0.0,36666.0,206.0
30,1,Agricola,49.99,2007,34,7.818,7.93,1.56,65063,5.0,150.0,12.0,3.64,4904151.0,0.0,1.0,0.0,249346.0,723.0
31,1,Mansions of Madness: Second Edition,77.0,2016,35,7.802,8.04,1.48,27258,5.0,180.0,14.0,2.68,2867191.0,1.0,0.0,0.0,67381.0,450.0
32,1,Maracaibo,74.99,2019,36,7.797,8.24,1.28,9552,4.0,120.0,12.0,3.89,1100744.0,0.0,1.0,0.0,32300.0,630.0
