,rank,game,year,url,rank,store,price,geek_rtg,avg_rtg,num_voters,ranking
0,1,Gloomhaven,(2017),/boardgame/174430/gloomhaven,1,New Amazon,$101.99,8.528,8.76,45694,1
1,2,Pandemic Legacy: Season 1,(2015),/boardgame/161936/pandemic-legacy-season-1,2,Geek Game Shop,$79.99,8.452,8.6,43748,2
2,3,Brass: Birmingham,(2018),/boardgame/224517/brass-birmingham,3,New Amazon,$89.95,8.409,8.67,23176,3
3,4,Terraforming Mars,(2016),/boardgame/167791/terraforming-mars,4,Geek Game Shop,$69.95,8.278,8.42,70574,4
4,5,Gloomhaven: Jaws of the Lion,(2020),/boardgame/291457/gloomhaven-jaws-lion,5,New Amazon,$34.93,8.26,8.74,13218,5
5,6,Twilight Imperium: Fourth Edition,(2017),/boardgame/233078/twilight-imperium-fourth-edition,6,Geek Game Shop,$149.95,8.257,8.68,15043,6
6,7,Gaia Project,(2017),/boardgame/220308/gaia-project,7,Geek Game Shop,$99.95,8.177,8.48,17973,7
7,8,Star Wars: Rebellion,(2016),/boardgame/187645/star-wars-rebellion,8,New Amazon,$104.55,8.174,8.43,24651,8
8,9,Through the Ages: A New Story of Civilization,(2015),/boardgame/182028/through-ages-new-story-civilization,9,New Amazon,$59.61,8.162,8.4,24688,9
9,10,Great Western Trail,(2016),/boardgame/193738/great-western-trail,10,New Amazon,$67.83,8.129,8.3,31671,10
10,11,Spirit Island,(2017),/boardgame/162886/spirit-island,11,New Amazon,$73.99,8.126,8.36,29680,11
11,12,War of the Ring: Second Edition,(2012),/boardgame/115746/war-ring-second-edition,12,Used Amazon,(unavailable),8.126,8.5,14811,12
12,13,Twilight Struggle,(2005),/boardgame/12333/twilight-struggle,13,New Amazon,$89.95,8.122,8.29,42254,13
13,14,Scythe,(2016),/boardgame/169786/scythe,14,Geek Game Shop,$90.00,8.071,8.23,61991,14
14,15,The Castles of Burgundy,(2011),/boardgame/84876/castles-burgundy,15,New Amazon,$49.99,8.011,8.13,48989,15
15,16,7 Wonders Duel,(2015),/boardgame/173346/7-wonders-duel,16,Geek Game Shop,$35.00,7.983,8.11,65911,16
16,17,Terra Mystica,(2012),/boardgame/120677/terra-mystica,17,Geek Game Shop,$79.99,7.977,8.13,40899,17
17,18,Concordia,(2013),/boardgame/124361/concordia,18,New Amazon,$49.49,7.966,8.12,30156,18
18,19,Brass: Lancashire,(2007),/boardgame/28720/brass-lancashire,19,Used Amazon,(unavailable),7.964,8.18,20363,19
